2024-02-12 12:58:56.479 [main] INFO  org.example.Calculator - [SQ ROOT] - 4.0
2024-02-12 12:58:56.479 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 2.0
2024-02-12 12:58:56.479 [main] INFO  org.example.Calculator - [SQ ROOT] - 81.0
2024-02-12 12:58:56.480 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 9.0
2024-02-12 12:58:56.480 [main] INFO  org.example.Calculator - [SQ ROOT] - 36.0
2024-02-12 12:58:56.480 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 6.0
2024-02-12 12:58:56.481 [main] INFO  org.example.Calculator - [NATURAL LOG] - 1.0
2024-02-12 12:58:56.481 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.0
2024-02-12 12:58:56.489 [main] INFO  org.example.Calculator - [POWER - 2.0 RAISED TO] 3.0
2024-02-12 12:58:56.490 [main] INFO  org.example.Calculator - [RESULT - POWER] - 8.0
2024-02-12 12:58:56.490 [main] INFO  org.example.Calculator - [POWER - 3.0 RAISED TO] 3.0
2024-02-12 12:58:56.491 [main] INFO  org.example.Calculator - [RESULT - POWER] - 27.0
2024-02-12 12:58:56.491 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 3.0
2024-02-12 12:58:56.491 [main] INFO  org.example.Calculator - [RESULT - POWER] - 64.0
2024-02-12 12:58:56.491 [main] INFO  org.example.Calculator - [POWER - 5.0 RAISED TO] 3.0
2024-02-12 12:58:56.491 [main] INFO  org.example.Calculator - [RESULT - POWER] - 125.0
2024-02-12 12:58:56.492 [main] INFO  org.example.Calculator - [POWER - 2.0 RAISED TO] 3.0
2024-02-12 12:58:56.492 [main] INFO  org.example.Calculator - [RESULT - POWER] - 8.0
2024-02-12 12:58:56.492 [main] INFO  org.example.Calculator - [POWER - 1.0 RAISED TO] 3.0
2024-02-12 12:58:56.492 [main] INFO  org.example.Calculator - [RESULT - POWER] - 1.0
2024-02-12 12:58:56.492 [main] INFO  org.example.Calculator - [POWER - 3.0 RAISED TO] 4.0
2024-02-12 12:58:56.493 [main] INFO  org.example.Calculator - [RESULT - POWER] - 81.0
2024-02-12 12:58:56.493 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 3.0
2024-02-12 12:58:56.493 [main] INFO  org.example.Calculator - [RESULT - POWER] - 64.0
2024-02-12 12:58:56.493 [main] INFO  org.example.Calculator - [POWER - 5.0 RAISED TO] 2.0
2024-02-12 12:58:56.493 [main] INFO  org.example.Calculator - [RESULT - POWER] - 25.0
2024-02-12 12:58:56.494 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.4
2024-02-12 12:58:56.494 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2024-02-12 12:58:56.495 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.1
2024-02-12 12:58:56.496 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
2024-02-12 13:00:24.196 [main] INFO  org.example.Calculator - [NATURAL LOG] - 100.0
2024-02-12 13:00:24.199 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 4.605170185988092
2024-02-12 13:01:08.823 [main] INFO  org.example.Calculator - [FACTORIAL] - 4.0
2024-02-12 13:01:08.824 [main] INFO  org.example.Calculator - [RESULT - FACTORIAL] - 24.0
2024-02-12 13:14:23.169 [main] INFO  org.example.Calculator - [SQ ROOT] - 16.0
2024-02-12 13:14:23.171 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 4.0
2024-02-12 13:14:23.171 [main] INFO  org.example.Calculator - [SQ ROOT] - 1.0
2024-02-12 13:14:23.171 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 1.0
2024-02-12 13:14:23.172 [main] INFO  org.example.Calculator - [SQ ROOT] - 81.0
2024-02-12 13:14:23.172 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 9.0
2024-02-12 13:14:23.172 [main] INFO  org.example.Calculator - [SQ ROOT] - 36.0
2024-02-12 13:14:23.172 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 6.0
2024-02-12 13:14:23.172 [main] INFO  org.example.Calculator - [SQ ROOT] - 3.0
2024-02-12 13:14:23.172 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 1.7320508075688772
2024-02-12 13:14:23.173 [main] INFO  org.example.Calculator - [SQ ROOT] - 4.0
2024-02-12 13:14:23.173 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 2.0
2024-02-12 13:14:23.173 [main] INFO  org.example.Calculator - [SQ ROOT] - 81.0
2024-02-12 13:14:23.173 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 9.0
2024-02-12 13:14:23.173 [main] INFO  org.example.Calculator - [SQ ROOT] - 36.0
2024-02-12 13:14:23.173 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 6.0
2024-02-12 13:14:23.173 [main] INFO  org.example.Calculator - [NATURAL LOG] - 1.0
2024-02-12 13:14:23.174 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.0
2024-02-12 13:14:23.179 [main] INFO  org.example.Calculator - [POWER - 2.0 RAISED TO] 3.0
2024-02-12 13:14:23.180 [main] INFO  org.example.Calculator - [RESULT - POWER] - 8.0
2024-02-12 13:14:23.180 [main] INFO  org.example.Calculator - [POWER - 3.0 RAISED TO] 3.0
2024-02-12 13:14:23.180 [main] INFO  org.example.Calculator - [RESULT - POWER] - 27.0
2024-02-12 13:14:23.180 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 3.0
2024-02-12 13:14:23.180 [main] INFO  org.example.Calculator - [RESULT - POWER] - 64.0
2024-02-12 13:14:23.180 [main] INFO  org.example.Calculator - [POWER - 5.0 RAISED TO] 3.0
2024-02-12 13:14:23.181 [main] INFO  org.example.Calculator - [RESULT - POWER] - 125.0
2024-02-12 13:14:23.181 [main] INFO  org.example.Calculator - [POWER - 2.0 RAISED TO] 3.0
2024-02-12 13:14:23.181 [main] INFO  org.example.Calculator - [RESULT - POWER] - 8.0
2024-02-12 13:14:23.181 [main] INFO  org.example.Calculator - [POWER - 1.0 RAISED TO] 3.0
2024-02-12 13:14:23.181 [main] INFO  org.example.Calculator - [RESULT - POWER] - 1.0
2024-02-12 13:14:23.181 [main] INFO  org.example.Calculator - [POWER - 3.0 RAISED TO] 4.0
2024-02-12 13:14:23.181 [main] INFO  org.example.Calculator - [RESULT - POWER] - 81.0
2024-02-12 13:14:23.182 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 3.0
2024-02-12 13:14:23.182 [main] INFO  org.example.Calculator - [RESULT - POWER] - 64.0
2024-02-12 13:14:23.182 [main] INFO  org.example.Calculator - [POWER - 5.0 RAISED TO] 2.0
2024-02-12 13:14:23.182 [main] INFO  org.example.Calculator - [RESULT - POWER] - 25.0
2024-02-12 13:14:23.182 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.4
2024-02-12 13:14:23.182 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2024-02-12 13:14:23.183 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.1
2024-02-12 13:14:23.183 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
2024-02-12 14:33:58.001 [main] INFO  org.example.Calculator - [SQ ROOT] - 16.0
